Staten Island Rolling Sales File.  All Sales From August 2012 - August 2013. ,,,,,,,,,,,,,,,,,,,,
Sales File as of 08/30/2013  Coop Sales Files as of 09/18/2013,,,,,,,,,,,,,,,,,,,,
"Neighborhood Name 09/06/13, Descriptive Data is as of 06/01/13",,,,,,,,,,,,,,,,,,,,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,"APART
MENT
NUMBER",ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,"SALE
PRICE",SALE DATE
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6475,528, ,A5, 343 ARBUTUS AVENUE                        ,            ,10312,1,0,1,"3,369","1,922",2011, 1 , A5 ,"$465,426",9/14/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6475,530, ,A5, 5198 HYLAN BOULEVARD                      ,            ,10312,1,0,1,"2,151","2,121",2011, 1 , A5 ,"$496,860",8/9/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6475,533, ,A5, 5192 HYLAN BOULEVARD                      ,            ,10312,1,0,1,"2,216","2,121",2011, 1 , A5 ,"$499,000",8/1/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6517,41, ,A9, 40 ARBUTUS WAY                            ,            ,10312,1,0,1,"17,275","4,821",1986, 1 , A9 ,"$845,000",6/18/2013
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6517,66, ,A9, 189 ARBUTUS AVENUE                        ,            ,10312,1,0,1,"21,680","6,290",1991, 1 , A9 ,$0,12/31/2012
5,ANNADALE                 ,02  TWO FAMILY HOMES                        ,1,5407,15, ,B2, 96 ELMBANK STREET                         ,            ,10312,2,0,2,"5,000","3,600",2001, 1 , B2 ,"$698,000",5/9/2013
5,ANNADALE                 ,02  TWO FAMILY HOMES                        ,1,6205,129, ,B2, 10 MAY PLACE                              ,            ,10312,2,0,2,"6,400","2,850",1985, 1 , B2 ,"$680,000",7/18/2013
5,ANNADALE                 ,02  TWO FAMILY HOMES                        ,1,6215,9, ,B2, 169 BARCLAY AVENUE                        ,            ,10312,2,0,2,"4,000","2,870",2012, 1 , B2 ,$0,9/14/2012
5,ANNADALE                 ,02  TWO FAMILY HOMES                        ,1,6215,12, ,B2, 165 BARCLAY AVENUE                        ,            ,10312,2,0,2,"4,000","2,870",2012, 1 , B2 ,$0,9/14/2012
5,ANNADALE                 ,02  TWO FAMILY HOMES                        ,1,6221,42, ,B9, 16 RALPH AVENUE                           ,            ,10312,2,0,2,"2,400","2,230",2004, 1 , B9 ,$0,12/14/2012
